petal.length,petal.width,variety
4.7,1.4,Versicolor
4.5,1.5,Versicolor
4.9,1.5,Versicolor
4.0,1.3,Versicolor
4.6,1.5,Versicolor
4.5,1.3,Versicolor
4.7,1.6,Versicolor
3.3,1.0,Versicolor
4.6,1.3,Versicolor
3.9,1.4,Versicolor
3.5,1.0,Versicolor
4.2,1.5,Versicolor
4.0,1.0,Versicolor
4.7,1.4,Versicolor
3.6,1.3,Versicolor
4.4,1.4,Versicolor
4.5,1.5,Versicolor
4.1,1.0,Versicolor
4.5,1.5,Versicolor
3.9,1.1,Versicolor
4.8,1.8,Versicolor
4.0,1.3,Versicolor
4.9,1.5,Versicolor
4.7,1.2,Versicolor
4.3,1.3,Versicolor
4.4,1.4,Versicolor
4.8,1.4,Versicolor
5.0,1.7,Versicolor
4.5,1.5,Versicolor
3.5,1.0,Versicolor
3.8,1.1,Versicolor
3.7,1.0,Versicolor
3.9,1.2,Versicolor
5.1,1.6,Versicolor
4.5,1.5,Versicolor
4.5,1.6,Versicolor
4.7,1.5,Versicolor
4.4,1.3,Versicolor
4.1,1.3,Versicolor
4.0,1.3,Versicolor
4.4,1.2,Versicolor
4.6,1.4,Versicolor
4.0,1.2,Versicolor
3.3,1.0,Versicolor
4.2,1.3,Versicolor
4.2,1.2,Versicolor
4.2,1.3,Versicolor
4.3,1.3,Versicolor
3.0,1.1,Versicolor
4.1,1.3,Versicolor
